Epoch1 Loss: 584200.0, New Best Found!!
Epoch172 Loss: 276.02301847876373, New Best Found!!
Epoch173 Loss: 274.767230690147, New Best Found!!
Epoch174 Loss: 273.525959562341, New Best Found!!
Epoch175 Loss: 272.299020231089, New Best Found!!
Epoch176 Loss: 271.08621688741636, New Best Found!!
Epoch177 Loss: 269.88734383105276, New Best Found!!
Epoch178 Loss: 268.7021866559675, New Best Found!!
Epoch179 Loss: 267.53052352585485, New Best Found!!
Epoch180 Loss: 266.3721265001274, New Best Found!!
Epoch181 Loss: 265.22676287496256, New Best Found!!
Epoch182 Loss: 264.0941965084434, New Best Found!!
Epoch183 Loss: 262.9741891038206, New Best Found!!
Epoch184 Loss: 261.866501429841, New Best Found!!
Epoch185 Loss: 260.7708944618998, New Best Found!!
Epoch186 Loss: 259.68713043223505, New Best Found!!
Epoch187 Loss: 258.61497378137597, New Best Found!!
Epoch188 Loss: 257.55419200660987, New Best Found!!
Epoch189 Loss: 256.5045564062003, New Best Found!!
Epoch190 Loss: 255.46584272060235, New Best Found!!
Epoch191 Loss: 254.43783167390575, New Best Found!!
Epoch192 Loss: 253.42030942030215, New Best Found!!
Epoch193 Loss: 252.41306790149352, New Best Found!!
Epoch194 Loss: 251.41590512180983, New Best Found!!
Epoch195 Loss: 250.42862534823055, New Best Found!!
Epoch196 Loss: 249.45103924277817, New Best Found!!
Epoch197 Loss: 248.48296393476522, New Best Found!!
Epoch198 Loss: 247.5242230402415, New Best Found!!
Epoch199 Loss: 246.5746466356698, New Best Found!!
Epoch200 Loss: 245.63407119253725, New Best Found!!
Epoch201 Loss: 244.7023394791036, New Best Found!!
Epoch202 Loss: 243.77930043505495, New Best Found!!
Epoch203 Loss: 242.8648090242671, New Best Found!!
Epoch204 Loss: 241.95872607040758, New Best Found!!
Epoch205 Loss: 241.06091807959697, New Best Found!!
Epoch206 Loss: 240.17125705383953, New Best Found!!
Epoch207 Loss: 239.28962029854074, New Best Found!!
Epoch208 Loss: 238.415890226952, New Best Found!!
Epoch209 Loss: 237.5499541640598, New Best Found!!
Epoch210 Loss: 236.69170415205477, New Best Found!!
Epoch211 Loss: 235.84103675923396, New Best Found!!
Epoch212 Loss: 234.9978528938908, New Best Found!!
Epoch213 Loss: 234.16205762449917, New Best Found!!
Epoch214 Loss: 233.33356000725743, New Best Found!!
Epoch215 Loss: 232.51227292182307, New Best Found!!
Epoch216 Loss: 231.69811291584475, New Best Found!!
Epoch217 Loss: 230.89100005866615, New Best Found!!
Epoch218 Loss: 230.09085780434663, New Best Found!!
Epoch219 Loss: 229.29761286388936, New Best Found!!
Epoch220 Loss: 228.51119508632806, New Best Found!!
Epoch221 Loss: 227.7315373480109, New Best Found!!
Epoch222 Loss: 226.9585754492087, New Best Found!!
Epoch223 Loss: 226.1922480168166, New Best Found!!
Epoch224 Loss: 225.43249641167256, New Best Found!!
Epoch225 Loss: 224.67926463874963, New Best Found!!
Epoch226 Loss: 223.93249925818694, New Best Found!!
Epoch227 Loss: 223.19214929493853, New Best Found!!
Epoch228 Loss: 222.45816614463314, New Best Found!!
Epoch229 Loss: 221.73050347314262, New Best Found!!
Epoch230 Loss: 221.00911710732936, New Best Found!!
Epoch231 Loss: 220.29396491452374, New Best Found!!
Epoch232 Loss: 219.58500666848207, New Best Found!!
Epoch233 Loss: 218.8822038998806, New Best Found!!
Epoch234 Loss: 218.18551972983835, New Best Found!!
Epoch235 Loss: 217.49491868555523, New Best Found!!
Epoch236 Loss: 216.8103664978008, New Best Found!!
Epoch237 Loss: 216.13182988080436, New Best Found!!
Epoch238 Loss: 215.4592762959249, New Best Found!!
Epoch239 Loss: 214.7926737013896, New Best Found!!
Epoch240 Loss: 214.131990291245, New Best Found!!
Epoch241 Loss: 213.47719422749645, New Best Found!!
Epoch242 Loss: 212.82825337011968, New Best Found!!
Epoch243 Loss: 212.18513501018094, New Best Found!!
Epoch244 Loss: 211.54780561165384, New Best Found!!
Epoch245 Loss: 210.9162305676382, New Best Found!!
Epoch246 Loss: 210.29037397659167, New Best Found!!
Epoch247 Loss: 209.6701984437391, New Best Found!!
Epoch248 Loss: 209.05566491227358, New Best Found!!
Epoch249 Loss: 208.44673252808525, New Best Found!!
Epoch250 Loss: 207.84335854076278, New Best Found!!
Epoch251 Loss: 207.24549824250872, New Best Found!!
